id,name,about,network,followersCount,proposalsCount,gov_model,turnout_rate_proxy,log_followers,tally_proposals,tally_votes,voters_90d,token_holders
goatsino.eth,GOATsino,"Avalanche’s first decentralized house casino. Play slots, rock paper scissors, and more. Stake $GOAT to earn $AVAX and ecosystem tokens. http://t.me/GoatAVAX",43114,10,1,hybrid,0.1,2.3978952727983707,,,,
info.sonic,Sonic Network $S,The official governance space for the Sonic Network,146,18,0,hybrid,,2.9444389791664403,,,,
arc.market,Arc.ai,"Arc.ai powers $ARC on ETH a utility token. Utilities include Earn with ARC, access to your own encrypted AI, Revenue share & Voting.",1,0,1,hybrid,,0.0,,,,
meta-whale-ai.eth,Meta Whale,Welcome to Meta Whale DAO - the world of decentralized solutions! Join a community where every voice matters. Let's build a decentralized world together!,1,53,1,hybrid,0.018867924528301886,3.9889840465642745,,,,
kaistdao.eth,Web3@KAIST Class DAO,What if we made class a DAO? This is a place to experiment with a DAO in class. Web3@KAIST teaches blockchain and Web3 tech & biz to KAIST students since 2023.,8453,7,6,hybrid,0.8571428571428571,2.0794415416798357,,,,
leviathannews.eth,Squid DAO,"Decentralized Crypto News, Powered by SQUID
https://leviathannews.xyz/",1,18,6,hybrid,0.3333333333333333,2.9444389791664403,,,,
lumiterra.eth,Lumiterra,Lumiterra Community,1,58,6,hybrid,0.10344827586206896,4.07753744390572,,,,
sparkfi.eth,Spark,"⚡️Powering DeFi with $2.6B+ in liquidity. Supply/borrow/earn with competitive rates, seamless access, and scalable liquidity. Spark: Onchain Capital Allocator.",1,2,0,hybrid,,1.0986122886681098,,,,
bone.shib,Bone DAO,"Bone DAO powers Shibarium’s tech evolution—veBONE stakers vote on upgrades, contract changes, network improvements, and key technical integrations.
",109,18,5,hybrid,0.2777777777777778,2.9444389791664403,,,,
merchminter.eth,MerchMinter,A token-backed SaaS platform specializing in global merchandise distribution on Amazon for everyone in the crypto space.,1,28,3,hybrid,0.10714285714285714,3.367295829986474,,,,
pinfts.eth,POC Network,"In partnership with Pi Network, we use Proof of Contribution (POC) to reward efforts, ensure transparency, and build a decentralized ecosystem.",137,74,3,hybrid,0.04054054054054054,4.31748811353631,,,,
treat146b.eth,TREAT 146b DAO,Shape TREAT 146b’s future! Token holders vote on proposals via Snapshot. Join our community to share ideas & build together! ideas & build together!,1,1,3,token,1.0,0.6931471805599453,,,,
sdzero.eth,sdZERO,sdZERO meta governance platform for vote replication on ZeroLend,59144,0,0,hybrid,,0.0,,,,
sdspectra.eth,sdSPECTRA,sdSPECTRA meta governance platform for vote replication on Spectra,8453,1,51,hybrid,1.0,0.6931471805599453,,,,
aavedao.eth,Aave DAO,,1,156587,867,hybrid,0.005536858104440343,11.961373431250248,,,,
puffpaw.eth,Puffpaw,,42161,17,1,hybrid,0.058823529411764705,2.8903717578961645,,,,
arcadiafi.eth,Arcadia Finance,"Arcadia is a DeFi asset management protocol.
Community members with delegated $AAA are eligible to vote.",8453,134,4,delegated,0.029850746268656716,4.90527477843843,,,,
defi.app,Defi App,"Swap, Earn, Leverage, Lend - Defi App does it all.",8453,160,5,hybrid,0.03125,5.081404364984463,,,,
cosmixdao.eth,CosmiX DAO,CosmiX DAO is a sk-cz community that helps each other by sharing information from the Crypto /NFT space; .. and CosmiXverse is what we are building!,1,5,2,hybrid,0.4,1.791759469228055,,,,
baci-election.eth,BACI,Blockchain Association of the Cayman Islands election space,1,2,6,hybrid,1.0,1.0986122886681098,,,,
ethos-labs.eth,Ethos,Ethos will use this space for voting on upcoming changes to credibility score. This is governance-lite; the team still owns full direction of implementation.,8453,466,10,hybrid,0.02145922746781116,6.1463292576688975,,,,
elixirfnd.eth,Elixir,The official snapshot and idea medium for the Elixir Network. Potential proposals are community-based and not endorsed by the Elixir Foundation.,1,368,4,token,0.010869565217391304,5.910796644040527,,,,
lightofhope.eth,LIGHT OF HOPE,"Charitable DAO: transparent, efficient Web3 funding for humanitarian and social initiatives. Join Telegram https://t.me/lightofhopeDAO",1,7,13,hybrid,1.0,2.0794415416798357,,,,
bsx.eth,BSX DAO,The official snapshot space for BSX DAO. Community members with delegated $BSX are eligible to vote.,8453,11,1,delegated,0.09090909090909091,2.4849066497880004,,,,
shroomydev.eth,Shroomy Project,The Shroomocracy is here! DAO governance for the Shroomy Project on Ink chain.,57073,92,5,hybrid,0.05434782608695652,4.532599493153256,,,,
retrofunding.eth,Optimism Retro Funding,This space was set up to host the algorithm selection for Retro Funding in Season 7. It has a different voting strategy than the Citizens' House space.,10,34,2,hybrid,0.058823529411764705,3.5553480614894135,,,,
amasa-io.eth,Amasa,"Amasa is DeFi on easy mode. 
A simple and automated way for users to channel earnings on web3 into a custom portfolio, to stabilize or amplify value over time.",1,53,3,hybrid,0.05660377358490566,3.9889840465642745,,,,
chain-project.eth,Chain Project,DAO化についての投票を、メインcollection保有数に応じた投票により決議していきます,137,40,18,hybrid,0.45,3.713572066704308,,,,
pizza.rugbuster.eth,Pizza Board Room,If a vote is needed or decentralizations are required. Using $SLICES to determine voting power,146,9,10,hybrid,1.0,2.302585092994046,,,,
rwokdao.eth,RWOK CAPITAL DAO,a dao investing in EVM Remilia Assets,8453,34,50,hybrid,1.0,3.5553480614894135,,,,
nodle.eth,Nodle Network,The Nodle Network is a global digital trust network enabling individuals and organizations to connect and verify reality using their smartphones.,1,166,2,hybrid,0.012048192771084338,5.117993812416755,,,,
usualmoney.eth,Usual,"Usual is a secure and decentralized fiat-backed (RWA) stablecoin issuer that redistributes value and ownership through the $USUAL token. 

Time is Ownership.",1,125,8,hybrid,0.064,4.836281906951478,,,,
holiverse.eth,Holiverse,Welcome to Holiverse DAO - the world of decentralized solutions! Join a community where every voice matters. Let's build a decentralized world together!,1,94,1,hybrid,0.010638297872340425,4.553876891600541,,,,
chatnetdotfun.eth,ChatNet DAO,"ChatNet is a decentralized message board launchpad on Avalanche.
The $CHAT DAO will be used to manage 5% of the $CHAT supply.",43114,88,2,hybrid,0.022727272727272728,4.48863636973214,,,,
fyde.eth,Fyde Labs,"Fyde models on-chain risk parameters, incentive mechanisms, and protocol stress-tests to secure and scale decentralized systems.",1,8,28,algorithmic,1.0,2.1972245773362196,,,,
governance.hardwaire.eth,HardwAIre DAO,"HardwAIre DAO is a community-driven initiative dedicated to providing accessible hardware resources for AI researchers, developers, and pioneers.",1,4,0,hybrid,,1.6094379124341003,,,,
pinkonomic.eth,PINKONOMIC,"🎀 Think PINK
🕹 Game + Meme = GAMEME ",1284,4,1,hybrid,0.25,1.6094379124341003,,,,
alternates.eth,Alternates,"Alternates is a fast-paced FPS delivering intense action across multiple modes and maps, merging web3 technology and NFT integration.",33139,5,1,hybrid,0.2,1.791759469228055,,,,
shironekotoken.eth,Shiro Neko,Join Shiro on his journey in a whole new and immersive way! Select & vote how Shiro will prove himself & leave his mark on the crypto universe.,1,29,8,hybrid,0.27586206896551724,3.4011973816621555,,,,
skyhighcapital.eth,Sky High Capital,SHC is a game and business development community of investors who are building some amazing web3 experiences and games. ,1,7,15,hybrid,1.0,2.0794415416798357,,,,
stellaxyz-v2.eth,Stellaxyz.io (V2),LeverageFi protocol: https://stellaxyz.io | Governance forum: https://stella.discourse.group | Deprecated snapshot: https://snapshot.org/#/s:stellaxyz.eth,56,1,1,token,1.0,0.6931471805599453,,,,
myirafund.eth,🏦 myIRA.fund,my IRA onchain (coming 🔜) ● 🤖 Ai Agents (phase 2) ● Project by: 🤖 AiAgents.box + ♾️ WeOwn.Network ● Part of 3️⃣win Social ecosystem,1,5,5,hybrid,1.0,1.791759469228055,,,,
xmaquina.eth,XMAQUINA,The Home of Decentralized Robotics.,3338,87,5,hybrid,0.05747126436781609,4.477336814478207,,,,
raredao.eth,RareDAO,$RARE Governance,1,0,0,hybrid,,0.0,,,,
muri.eth,Muri,The MURI Revolution has begun. The offical DAO of Muri. ,1,12,3,hybrid,0.25,2.5649493574615367,,,,
truemarkets-dev.eth,Truemarkets DEV,News Powered by Markets,8453,6,22,hybrid,1.0,1.9459101490553132,,,,
superfluid.eth,Superfluid,,8453,325,6,hybrid,0.018461538461538463,5.786897381366708,,,,
walletconnect.eth,WalletConnect Network,"The onchain UX ecosystem.
STAKING WCT = VOTING POWER
STAKE NOW --> staking.walletconnect.network ",10,6819,3,hybrid,0.0004399472063352398,8.827614750837508,,,,
daobaseai.eth,DAOBase DAO,"⚡ Your buzzing hive for DAO launches, aggregation, and insights. We're here to bring communities onchain, empowering them to make a real impact. 🌍✨ ",8453,48,2,hybrid,0.041666666666666664,3.8918202981106265,,,,
beets-gauges.eth,Beets Gauge Votes,Subspace of beets.eth that handles the gauge votes.,146,138,16,hybrid,0.11594202898550725,4.9344739331306915,,,,
